PRDUCT,ENTRPS,RTRVL_RESN,ENFRC_YN,RTRVL_CMMND_DT,RECALL_COMMAND_DATE,ITEM_SEQ,BIZRNO,STD_CD,MAPPED_ITEM_SEQ
"트라플엠세미정","(주)마더스제약","불순물(N-nitrose-desmethyl-tramadol)초과 검출 우려에 따른 사전예방적 조치로 시중 유통품에 대한 영업자 회수",N,"",20260506,201405383,3128629302,"8806228021504,8806228021511,8806228021528",
"아마돌정","아주약품(주)","불순물(N-nitroso-desmethyl-tramadol) 초과 검출 우려에 따른 사전예방적 조치로 시중 유통품에 대한 영업자 회수",N,20260625000000,20260506,200706008,8028803696,"8806540007507,8806540007514,8806540007521,8806540007538",
"영트라셋정","영진약품(주)","불순물(N-nitroso-desmethyl-tramadol) 초과 검출 우려에 따른 사전예방적 조치로 시중 유통품에 대한 영업자 회수",N,20260508000000,20260506,200804696,2188100352,"8806424019305,8806424019312,8806424019329,8806424019336",
"리브러쉬화이트닝치아미백제","(주)성원제약","품질부적합(과산화수소 확인 및 함량시험)",Y,20260604000000,20260506,202402280,2048175757,"",
"1.덴티라보리인포스치약, 2.코랄리에프레쉬치약(아쿠아민트향), 3.코랄리에치약(솔트맛), 4.쥬브니일사오공치약, 5.호이허그키즈육공치약(레몬민트향), 6.글릿브라이트닝스텝투치약, 7.리브러쉬캐비티케어치약, 8.블랑쉬화이트치약","(주)성원제약","품질부적합(pH 및 함수이산화규소 확인)-리브러쉬캐비티케어치약",Y,20260612000000,20260506,202107249,2048175757,"",
"1.자연이쓰는치약시린메디, 2.네오시린큐치약, 3.이시린엑스치약(Esirin-X Toothpaste), 4.닥투스시린케어치약(수출명 : Doctooth Shirin care Toothpaste), 5.오프리케어닥터시린이케어치약, 6.해링비센스액티브플러스치약, 7.덴티라보센서티브치약, 8.닥터니어유센서티브치약 , 9.아일랜드크림스톤치약, 10.성원시린이케어치약","(주)성원제약","품질부적합(pH)-성원시린이케어치약",Y,20260612000000,20260506,201006589,2048175757,"",
"1.아딘폴거품세정액, 2.덴티오클렌저, 3.퓨리덴구강장치세정제, 4.스마일폼의치세정제, 5.파로덱스의치세정제, 6.덴탈비프로클리어구강장치세정제, 7.소피오티클리어구강장치세정제, 8.미라클구강장치세정폼, 9.닥트러스트리치폼구강장치세정제, 10.프로덴티브큐잇클리어구강장치세정폼, 11.퓨어덴티구강장치세정액, 12.닥터덴구강장치세정제","(주)성원제약","품질부적합(탄산수소나트륨의 확인 및 함량시험, 질량용량시험)-퓨어덴티구강장치세정액",Y,20260612000000,20260506,202500553,2048175757,"",
"1.아딘폴거품세정액, 2.덴티오클렌저, 3.퓨리덴구강장치세정제, 4.스마일폼의치세정제, 5.파로덱스의치세정제, 6.덴탈비프로클리어구강장치세정제, 7.소피오티클리어구강장치세정제, 8.미라클구강장치세정폼, 9.닥트러스트리치폼구강장치세정제, 10.프로덴티브큐잇클리어구강장치세정폼, 11.퓨어덴티구강장치세정액, 12.닥터덴구강장치세정제","(주)성원제약","품질부적합(탄산수소나트륨의 확인 및 pH)-프로덴티브큐잇클리어구강장치세정폼",Y,20260612000000,20260506,202500553,2048175757,"",
"트라마펜세미정","구주제약(주)","불순물(N-nitroso-desmethyl-tramadol) 초과 검출 우려에 따른 사전예방적 조치로 시중 유통품에 대한 영업자 회수",N,20260520000000,20260504,201402890,1248136268,"8806698043709,8806698043716,8806698043723",
"트라마펜정","구주제약(주)","불순물(N-nitroso-desmethyl-tramadol) 초과 검출 우려에 따른 사전예방적 조치로 시중 유통품에 대한 영업자 회수",N,20260520000000,20260504,200804563,1248136268,"8806698032901,8806698032918,8806698032925,8806698032932",
