DUR_SEQ,TYPE_NAME,MIX_TYPE,INGR_CODE,INGR_ENG_NAME,INGR_NAME,MIX_INGR,ORI_INGR,CLASS_NAME,FORM_NAME,NOTIFICATION_DATE,PROHBT_CONTENT,REMARK,DEL_YN,AGE_BASE
481,"특정연령대금기","단일",D000438,Benzonatate,"벤조나테이트","","[M086520]벤조나테이트","[02220]진해거담제","캡슐",20140109,"안전성 및 유효성 미확립","","정상","10세 이하"
482,"특정연령대금기","단일",D000440,Benztropine,"벤즈트로핀","","[M050593]벤즈트로핀메실레이트/[M200496]메실산벤즈트로핀/[M247864]벤즈트로핀메실산염","[01190]기타의 중추신경용약","정제/유화주사제/용액용분말주사제/서방성현탁액용분말주사제/용액용동결건조분말주사제/현탁액용동결건조분말주사제/서방성현탁액용동결건조분말주사제/리포좀화현탁액용동결건조분말주사제/현탁액주사제/서방성현탁액성주사제/용액주사제",20140109,"생명을 위협하는 경우를 제외하고는 3세 미만 소아에 사용하지 말 것","","정상","3세 미만"
483,"특정연령대금기","단일",D000724,Bicalutamide,"비칼루타미드","","[M089188]비칼루타마이드/[M259016]비칼루타미드","[04210]항악성종양제","정제",20140109,_,"","정상","18세 미만"
484,"특정연령대금기","단일",D000641,Brimonidine,"브리모니딘","","[M090423]주석산브리모니딘/[M251494]브리모니딘타르타르산염/[M255020]브리모니딘타르타르산염","[01310]안과용제","점안용액제/용액용점안분말제/현탁액점안제/안연고제/안겔/점안주사제",20140109,"- 안전성 및 유효성 미확립
- 시판 후 조사에서 이 약을 투여 받은 영아에서 무호흡, 서맥, 혼수, 저혈압, 저체온, 근육긴장저하, 기면, 창백, 호흡억제, 졸음이 보고됨","","정상","2세 미만"
485,"특정연령대금기","복합",D000641,Brimonidine,"브리모니딘","[D000684]Timolol(티몰롤)","[M090423]주석산브리모니딘/[M251494]브리모니딘타르타르산염/[M255020]브리모니딘타르타르산염/[M051656]말레인산티몰롤/[M096214]말레인산티몰롤/[M222894]티몰롤말레산염/[M256384]티몰롤말레산염","[01310]안과용제","점안용액제/용액용점안분말제/현탁액점안제/안연고제/안겔/점안주사제",20140109,"- 안전성 및 유효성 미확립
- 시판 후 조사에서 이 약을 투여 받은 신생아에서 무호흡, 서맥, 저혈압, 체온저하, 혼수상태, 졸음, 근긴장저하, 무기력, 창백, 호흡저하가 보고됨","","정상","2세 미만"
486,"특정연령대금기","단일",D000331,Butorphanol,"부토르파놀","","[M088405]주석산부토르파놀/[M206210]주석산부토르파놀/[M250986]부토르파놀타르타르산염","[01140]해열.진통.소염제","용액주사제/유화주사제/용액용분말주사제/서방성현탁액용분말주사제/용액용동결건조분말주사제/현탁액용동결건조분말주사제/서방성현탁액용동결건조분말주사제/리포좀화현탁액용동결건조분말주사제/현탁액주사제/서방성현탁액성주사제",20140109,"안전성 및 유효성 미확립","","정상","18세 이하"
487,"특정연령대금기","단일",D000767,Capsaicin,"캡사이신","","[M050720]천연캡사이신","[02640]진통.진양.수렴.소염제","크림",20140109,_,"","삭제","2세 미만"
488,"특정연령대금기","단일",D000648,"Cefetamet Pivoxil","세페타메트피복실","","[M093786]염산세페타메트피복실/[M243849]세페타메트피복실염산염","[06180]주로 그람양성, 음성균에 작용하는 것","정제/산제/용액용산제/현탁액용산제/세립/용액용세립제/현탁액용세립제",20140109,_,"","정상","3세 미만"
489,"특정연령대금기","단일",D000647,Cetirizine,"세티리진","","[M051285]염산세티리진/[M222857]세티리진염산염","[01410]항히스타민제","경구용현탁액제/점이제, 현탁액용산제/현탁액제용주사용용제/직장용현탁액제/일반현탁분무제/정량현탁분무제/이식용현탁액제/점이현탁액제/유제/틴크제/전제/침제/레모네이드제/방향수제/주정제/피부액제/피부리니멘트제/도료/샴푸/경구용액제/질세정액/관류제/점이액제/혈액항응고보존액제/밀폐제용용액제/장기보존용액제/주사/피부단자시험용용액/방광내적용용액/액상시럽제/건조시럽용 과립제",20140109,_,"","정상","2세 미만"
490,"특정연령대금기","단일",D000647,Cetirizine,"세티리진","","[M051285]염산세티리진/[M222857]세티리진염산염","[01410]항히스타민제","정제/캡슐",20140109,"안전성 및 유효성 미확립","","정상","6세 미만"
