TYPE_NAME,ITEM_SEQ,ITEM_NAME,ITEM_PERMIT_DATE,FORM_CODE_NAME,ENTP_NAME,CHART,CLASS_CODE,CLASS_NAME,ETC_OTC_NAME,MIX,MAIN_INGR,PROHBT_CONTENT,REMARK,CHANGE_DATE,BIZRNO
"분할주의",202302574,"다플진메트서방정10/500밀리그램(다파글리플로진프로판디올수화물, 메트포르민염산염)",2023August30th,"서방성필름코팅정","동국제약(주)","분홍색의 장방형 서방성 필름코팅정",03960,"당뇨병용제","전문의약품","복합","[M244179]메트포르민염산염/[M258339]다파글리플로진프로판디올수화물","분할불가","",20251107,3018508241
"분할주의",202302655,"다파엠듀오서방정5/500밀리그램",2023September6th,"서방성필름코팅정","(주)에이프로젠바이오로직스","주황색의 장방형 서방성 필름코팅정",03960,"당뇨병용제","전문의약품","복합","[M258339]다파글리플로진프로판디올수화물/[M244179]메트포르민염산염","분할불가","",20251107,2188100518
"분할주의",202302656,"다파엠듀오서방정10/500밀리그램",2023September6th,"서방성필름코팅정","(주)에이프로젠바이오로직스","분홍색의 장방형 서방성 필름코팅정",03960,"당뇨병용제","전문의약품","복합","[M258339]다파글리플로진프로판디올수화물/[M244179]메트포르민염산염","분할불가","",20251107,2188100518
"분할주의",202302753,"네시나메트서방정25/1000밀리그램(알로글립틴,메트포르민염산염)",2023September14th,"서방성필름코팅정","(주)셀트리온제약","연한 노란색의 타원형 서방성 필름코팅정",03960,"당뇨병용제","전문의약품","복합","[M244179]메트포르민염산염/[M115650]알로글립틴벤조산염","분할불가","",20250521,2148671641
"분할주의",202302754,"네시나메트서방정12.5/500밀리그램(알로글립틴,메트포르민염산염)",2023September14th,"서방성필름코팅정","(주)셀트리온제약","연한 노란색의 타원형 서방성 필름코팅정",03960,"당뇨병용제","전문의약품","복합","[M244179]메트포르민염산염/[M115650]알로글립틴벤조산염","분할불가","",20250521,2148671641
"분할주의",202302755,"네시나메트서방정12.5/1000밀리그램(알로글립틴,메트포르민염산염)",2023September14th,"서방성필름코팅정","(주)셀트리온제약","연한 노란색의 타원형 서방성 필름코팅정",03960,"당뇨병용제","전문의약품","복합","[M244179]메트포르민염산염/[M115650]알로글립틴벤조산염","분할불가","",20250521,2148671641
"분할주의",202302773,"조이퀸정",2023September19th,"장용성필름코팅정","한솔신약(주)","녹색의 원형 장용성 필름코팅정",02380,"하제, 완장제","일반의약품","복합","[M050687]비사코딜/[M081950]도큐세이트나트륨","분할불가","","",3038114421
"분할주의",202302914,"트라리틴콤비서방정5/1000밀리그램",2023October13th,"서방성필름코팅정","대원제약(주)","분홍색의 양면이 볼록한 타원형 서방성 필름코팅정",03960,"당뇨병용제","전문의약품","복합","[M268745]리나글립틴(미분화)/[M266682]메트포르민염산염 콜로이드성이산화규소","분할불가","",20241230,2078136336
"분할주의",202302920,"트라폴민듀오서방정5/1000밀리그램",2023October16th,"서방성필름코팅정","대원바이오텍주식회사","분홍색의 양면이 볼록한 타원형 서방성 필름코팅정",03960,"당뇨병용제","전문의약품","복합","[M268745]리나글립틴(미분화)/[M266682]메트포르민염산염 콜로이드성이산화규소","분할불가","","",5458100235
"분할주의",202302934,"멜라카서방정2밀리그램(멜라토닌)",2023October17th,"서방정","(주)메디카코리아","흰색 내지 회백색의 원형 서방 정제",01120,"최면진정제","전문의약품","단일","[M278007]멜라토닌","분할불가","",20260609,1208165228
